Nombre,Juego,Entrega,Desde,Hasta,Dist. Estimada,Dist. Aceptada,Vel. Máx,Modalidad,Beneficio,Multas,Daños,Tiempo Real,Fecha,Distancia_Num
MrSebas,ATS,Estándar,Port of SF,Shop Town,1 297 km,1 299 km,130 km/h,Real,65 318 $,0 $,2,2667,2026-08-02,1299
ReyMisterio,ATS,Estándar,Enterpriser,Tidbit,2 035 km,2 029 km,129 km/h,Real,17 131 $,0 $,4,3249,2026-08-02,2029
Undertaker03,ATS,Estándar,Enterpriser,Tidbit,2 035 km,2 033 km,130 km/h,Real,16 943 $,0 $,4,3288,2026-08-02,2033
Mr_Gerzon,ATS,Estándar,Enterpriser,Tidbit,2 035 km,2 040 km,129 km/h,Real,19 826 $,0 $,1,3463,2026-08-02,2040
Brayan Gamer,ATS,Estándar,Oakland Shippers,Coastline Mining,1 572 km,1 751 km,129 km/h,Real,15 147 $,0 $,0,2799,2026-08-02,1751
Old_picotto,ATS,Wotr,Syntetico,Tulsa Freight,83 km,84 km,105 km/h,Real,4 066 $,0 $,0,444,2026-08-02,84
profeta(CT),ATS,Estándar,Equos Power Transport,Avalanche Steel,4 000 km,5 000 km,130 km/h,Real,0 $,0 $,68,12104,2026-08-02,5000
profeta(CT),ATS,Estándar,Vortex,Avalanche Steel,4 000 km,5 000 km,129 km/h,Real,0 $,0 $,31,14019,2026-08-02,5000
CRISTHIAN 926,ATS,Estándar,Vitas Power,Ultimus,1 519 km,1 898 km,130 km/h,Real,54 521 $,0 $,3,3704,2026-08-02,1898
Guardian777,ATS,Estándar,SellGoods,Flavorfair,3 673 km,3 812 km,130 km/h,Real,0 $,0 $,100,8078,2026-08-02,3812
MALA INFLUENCIA,ATS,Estándar,Tidbit,US Beverages & Bottling,2 090 km,2 091 km,129 km/h,Real,7 013 $,0 $,0,3268,2026-08-02,2091
ReyMisterio,ATS,Estándar,Tidbit,US Beverages & Bottling,2 090 km,2 094 km,129 km/h,Real,3 805 $,0 $,0,3381,2026-08-02,2094
DON ISMA,ATS,Estándar,Tidbit,US Beverages & Bottling,2 090 km,2 090 km,129 km/h,Real,3 619 $,0 $,1,3235,2026-08-02,2090
Mr_Gerzon,ATS,Estándar,Tidbit,US Beverages & Bottling,2 090 km,2 094 km,128 km/h,Real,3 805 $,0 $,0,3381,2026-08-02,2094
profeta(CT),ATS,Estándar,GPW,US Beverages & Bottling,1 167 km,1 166 km,130 km/h,Real,2 314 $,0 $,0,1749,2026-08-02,1166
Brayan Gamer,ATS,Estándar,Tidbit,US Beverages & Bottling,2 090 km,2 089 km,129 km/h,Real,3 225 $,0 $,3,3259,2026-08-02,2089
ZayCruz,ATS,Estándar,Tidbit,US Beverages & Bottling,2 090 km,2 088 km,129 km/h,Real,7 013 $,0 $,0,3209,2026-08-02,2088
Undertaker03,ATS,Estándar,Tidbit,US Beverages & Bottling,2 090 km,2 093 km,130 km/h,Real,6 665 $,0 $,1,3392,2026-08-02,2093
LuisYanez9,ATS,Estándar,Tidbit,US Beverages & Bottling,2 090 km,2 092 km,130 km/h,Real,3 805 $,0 $,0,3420,2026-08-02,2092
CRISTHIAN 926,ATS,Estándar,Enterpriser,US Beverages & Bottling,1 009 km,1 009 km,129 km/h,Real,16 490 $,0 $,0,1671,2026-08-02,1009
duvanpamplona88,ATS,Estándar,Tidbit,US Beverages & Bottling,2 090 km,2 104 km,130 km/h,Real,2 544 $,0 $,8,3446,2026-08-02,2104
Ayala.jav,ATS,Estándar,Central Civil Works,Apade,3 167 km,3 297 km,129 km/h,Real,49 958 $,0 $,2,6246,2026-08-02,3297
CRISTHIAN 926,ATS,Estándar,US Beverages & Bottling,Tidbit,2 097 km,2 429 km,130 km/h,Real,85 040 $,0 $,1,4154,2026-08-02,2429
ReyMisterio,ATS,Estándar,US Beverages & Bottling,Coastline Mining,1 944 km,2 430 km,130 km/h,Real,110 298 $,0 $,0,3920,2026-08-02,2430
DON ISMA,ATS,Estándar,US Beverages & Bottling,Coastline Mining,1 944 km,2 430 km,130 km/h,Real,102 951 $,0 $,1,3950,2026-08-02,2430
MALA INFLUENCIA,ATS,Estándar,US Beverages & Bottling,Coastline Mining,1 944 km,2 430 km,129 km/h,Real,97 815 $,0 $,2,3967,2026-08-02,2430
Mr_Gerzon,ATS,Estándar,US Beverages & Bottling,Coastline Mining,1 944 km,2 430 km,129 km/h,Real,99 095 $,0 $,2,4106,2026-08-02,2430
ZayCruz,ATS,Estándar,Drake Cars,Coastline Mining,2 061 km,2 234 km,129 km/h,Real,116 845 $,0 $,0,3447,2026-08-02,2234
LuisYanez9,ATS,Estándar,US Beverages & Bottling,Tidbit,2 097 km,2 437 km,131 km/h,Carrera,3 814 $,0 $,0,4073,2026-08-02,2437
Guardian777,ATS,Estándar,MWM,Coastline Mining,1 298 km,1 489 km,130 km/h,Real,4 491 $,0 $,0,2566,2026-08-02,1489
ReyMisterio,ATS,Estándar,Coastline Mining,Bitumen,2 594 km,2 268 km,130 km/h,Real,21 504 $,0 $,1,3332,2026-08-02,2268
MALA INFLUENCIA,ATS,Estándar,Coastline Mining,Bitumen,2 101 km,2 270 km,129 km/h,Real,23 062 $,0 $,0,3380,2026-08-02,2270
Guardian777,ATS,Estándar,Coastline Mining,Bitumen,2 101 km,2 266 km,129 km/h,Real,19 021 $,0 $,4,3436,2026-08-02,2266
DON ISMA,ATS,Estándar,Coastline Mining,Bitumen,2 101 km,2 266 km,129 km/h,Real,20 150 $,0 $,3,3413,2026-08-02,2266
Mr_Gerzon,ATS,Estándar,Coastline Mining,Bitumen,2 101 km,2 261 km,129 km/h,Real,23 062 $,0 $,0,3469,2026-08-02,2261
CRISTHIAN 926,ATS,Estándar,Tidbit,AI Automotive,2 222 km,2 224 km,130 km/h,Real,37 263 $,0 $,0,3453,2026-08-02,2224
Yenny,ATS,Estándar,Tidbit,Deepgrove,2 431 km,2 483 km,141 km/h,Carrera,7 908 $,18 500 $,20,5304,2026-08-02,2483
Mr_Gerzon,ATS,Wotr,Rock Port,SellGoods,3 312 km,4 140 km,128 km/h,Real,123 027 $,0 $,0,10337,2026-08-02,4140
Guardian777,ATS,Estándar,Starbridge,SellGoods,1 051 km,1 314 km,130 km/h,Real,1 136 $,0 $,22,4360,2026-08-02,1314
andres guerra,ATS,Estándar,Starbridge,Venture,1 466 km,1 538 km,116 km/h,Real,0 $,12 600 $,18,5917,2026-08-02,1538
El puma (CT),ATS,Estándar,Wallbert,Shop Town,1 188 km,1 188 km,128 km/h,Real,4 058 $,0 $,0,1954,2026-08-02,1188
El puma (CT),ATS,Estándar,HMS Machinery,Rail Export,1 891 km,1 745 km,129 km/h,Real,133 428 $,0 $,0,3980,2026-08-02,1745
kingdilli,ATS,Estándar,Drake Cars,Bitumen,487 km,609 km,114 km/h,Real,5 323 $,4 200 $,0,1953,2026-08-02,609
ZayCruz,ATS,Estándar,Syntetico,GARC,4 916 km,5 010 km,129 km/h,Real,0 $,0 $,32,13181,2026-08-02,5010
Old_picotto,ATS,Wotr,Tulsa Freight,Coastline Mining,3 146 km,3 139 km,111 km/h,Real,97 830 $,0 $,0,7322,2026-08-02,3139
MALA INFLUENCIA,ATS,Estándar,Rock Port,Wallbert,4 403 km,4 413 km,130 km/h,Real,51 084 $,0 $,0,7270,2026-08-02,4413
andresnintendo,ATS,Estándar,Starbridge,Venture,1 203 km,1 202 km,128 km/h,Real,54 131 $,0 $,0,2229,2026-08-02,1202
andres guerra,ATS,Estándar,Apade,Coastline Mining,816 km,819 km,115 km/h,Real,22 087 $,5 700 $,1,2767,2026-08-02,819
andresnintendo,ATS,Estándar,Venture,Eddy's,400 km,401 km,128 km/h,Real,8 027 $,0 $,0,827,2026-08-02,401
MrSebas,ATS,Estándar,Gastream,Gastream,790 km,791 km,128 km/h,Real,76 720 $,0 $,0,1584,2026-08-02,791
MALA INFLUENCIA,ATS,Estándar,Avalanche Steel,Avalanche Steel,1 105 km,1 161 km,130 km/h,Real,15 714 $,0 $,2,2527,2026-08-02,1161
duvanpamplona88,ATS,Estándar,Shop Town,Charged,2 645 km,3 149 km,130 km/h,Real,0 $,0 $,53,5459,2026-08-02,3149
MrSebas,ATS,Estándar,Gastream,Oakland Shippers,784 km,792 km,126 km/h,Real,76 238 $,0 $,0,1762,2026-08-02,792
kingdilli,ATS,Estándar,Bitumen,Aron,975 km,606 km,114 km/h,Real,39 115 $,0 $,1,1472,2026-08-02,606
andresnintendo,ATS,Estándar,Sunshine Crops,exito,444 km,447 km,100 km/h,Real,1 847 $,0 $,0,4271,2026-08-02,447
MALA INFLUENCIA,ATS,Estándar,Kenworth,Wallbert,2 974 km,2 975 km,130 km/h,Real,97 525 $,0 $,0,5184,2026-08-02,2975
MrSebas,ATS,Estándar,Gallon Oil,Gallon Oil,1 411 km,1 413 km,130 km/h,Real,127 007 $,0 $,0,2400,2026-08-02,1413
CRAZY_GAMER_16,ATS,Estándar,Sea Horizon,Enterpriser,5 213 km,0 km,130 km/h,Real,0 $,0 $,100,8810,2026-08-02,0
El puma (CT),ATS,Estándar,Bitumen,Golden Meadows,1 047 km,1 049 km,129 km/h,Real,34 981 $,0 $,1,1725,2026-08-02,1049
andresnintendo,ATS,Estándar,big_cola,Bushnell Farms,275 km,258 km,97 km/h,Real,1 018 $,0 $,0,3078,2026-08-02,258
CT/Cristian,ATS,Estándar,Starbridge,Enterpriser,2 747 km,2 910 km,129 km/h,Real,0 $,0 $,27,5549,2026-08-02,2910
El puma (CT),ATS,Estándar,HMS Machinery,US Beverages & Bottling,1 322 km,1 442 km,129 km/h,Real,42 721 $,0 $,0,2389,2026-08-02,1442
CRAZY_GAMER_16,ATS,Estándar,Home Store,Fish Tail Food,2 099 km,2 160 km,109 km/h,Real,33 846 $,0 $,0,4436,2026-08-03,2160
MrSebas,ATS,Estándar,Gallon Oil,Gallon Oil,1 799 km,1 800 km,129 km/h,Real,158 517 $,0 $,1,3350,2026-08-03,1800
CT/Cristian,ATS,Estándar,Enterpriser,Venture,2 101 km,2 101 km,129 km/h,Real,83 136 $,0 $,2,3810,2026-08-03,2101
Jose Naukin,ATS,Estándar,Costruzione di Edifici,cemex,65 km,3 km,76 km/h,Real,584 425 $,0 $,0,80,2026-08-03,3
Jose Naukin,ATS,Estándar,ingenio_sc,mcpollo,53 km,1 km,45 km/h,Real,941 546 $,0 $,0,88,2026-08-03,1
Jose Naukin,ATS,Estándar,Rail Export,Flavorfair,660 km,659 km,127 km/h,Real,53 622 $,1 400 $,0,1172,2026-08-03,659
CT/Cristian,ATS,Estándar,Peterbilt,Wallbert,1 280 km,1 299 km,130 km/h,Real,46 948 $,0 $,1,2210,2026-08-03,1299
profeta(CT),ATS,Estándar,US Beverages & Bottling,Wallbert,1 725 km,1 725 km,130 km/h,Real,42 643 $,0 $,1,3107,2026-08-03,1725
DON ISMA,ATS,Estándar,Global Mills,HMS Machinery,4 374 km,4 858 km,130 km/h,Real,69 840 $,0 $,0,7544,2026-08-03,4858
Jose Naukin,ATS,Estándar,Equos Power Transport,Epro Gas,591 km,644 km,129 km/h,Real,10 305 $,2 100 $,0,1295,2026-08-03,644
MALA INFLUENCIA,ATS,Estándar,Deepgrove,Heartwood Furniture,4 674 km,5 581 km,129 km/h,Real,30 063 $,0 $,0,8662,2026-08-03,5581
Guardian777,ATS,Estándar,Peterbilt,AI Automotive,1 526 km,1 546 km,129 km/h,Real,1 547 $,0 $,11,2828,2026-08-03,1546
CT/Cristian,ATS,Estándar,Gallon Oil,AI Automotive,1 674 km,1 783 km,130 km/h,Real,62 242 $,0 $,1,2939,2026-08-03,1783
profeta(CT),ATS,Estándar,Gallon Oil,AI Automotive,1 674 km,1 781 km,130 km/h,Real,63 937 $,0 $,0,3245,2026-08-03,1781
Ayala.jav,ATS,Estándar,Apade,AI Automotive,2 075 km,2 107 km,129 km/h,Real,35 734 $,0 $,0,4086,2026-08-03,2107
kingdilli,ATS,Estándar,American Lines,Enterpriser,242 km,244 km,110 km/h,Real,15 397 $,0 $,0,680,2026-08-03,244
Camilo Gang,ATS,Estándar,Tidbit,Rail Export,99 km,99 km,101 km/h,Real,1 055 $,0 $,0,546,2026-08-03,99
CRISTHIAN 926,ATS,Estándar,Western Star,42 Print,1 362 km,1 376 km,129 km/h,Real,100 580 $,0 $,10,2565,2026-08-03,1376
Ayala.jav,ATS,Estándar,Western Star,42 Print,1 362 km,1 369 km,130 km/h,Real,110 366 $,0 $,0,2653,2026-08-03,1369
Guardian777,ATS,Estándar,Western Star,42 Print,1 362 km,1 362 km,130 km/h,Real,0 $,0 $,81,3165,2026-08-03,1362
Jose Naukin,ATS,Estándar,Taylor Construction Group,Chicago International Airport,779 km,780 km,113 km/h,Real,63 616 $,2 100 $,0,1796,2026-08-03,780
DON ISMA,ATS,Estándar,Apade,Deepgrove,1 379 km,1 511 km,130 km/h,Real,45 655 $,0 $,15,2867,2026-08-03,1511
Ayala.jav,ATS,Estándar,Shop Town,Bushnell Farms,1 381 km,1 380 km,130 km/h,Real,145 889 $,0 $,1,2922,2026-08-03,1380
CT/Cristian,ATS,Estándar,Apade,Deepgrove,1 379 km,1 508 km,130 km/h,Real,131 115 $,0 $,3,2906,2026-08-03,1508
LuisYanez9,ATS,Estándar,Enterpriser,AI Automotive,1 308 km,1 445 km,161 km/h,Carrera,0 $,0 $,100,2863,2026-08-03,1445
kingdilli,ATS,Estándar,Enterpriser,Bitumen,1 304 km,1 554 km,129 km/h,Real,0 $,0 $,35,3240,2026-08-03,1554
Mr_Gerzon,ATS,Estándar,Shop Town,Deepgrove,1 508 km,1 773 km,129 km/h,Real,69 834 $,0 $,11,3712,2026-08-03,1773
MALA INFLUENCIA,ATS,Estándar,Rock Port,Sea Horizon,6 111 km,7 111 km,130 km/h,Real,15 161 $,0 $,3,10973,2026-08-03,7111
CRISTHIAN 926,ATS,Estándar,Apade,Deepgrove,1 379 km,1 724 km,129 km/h,Real,133 118 $,0 $,5,3557,2026-08-03,1724
Camilo Gang,ATS,Estándar,Bitumen,Eddy's,209 km,209 km,126 km/h,Real,7 636 $,0 $,0,435,2026-08-03,209
Guardian777,ATS,Estándar,Shop Town,Deepgrove,1 508 km,1 512 km,130 km/h,Real,21 496 $,0 $,20,4030,2026-08-03,1512
andres guerra,ATS,Estándar,Plaster & Sons,American Lines,648 km,658 km,116 km/h,Real,9 265 $,1 800 $,1,1847,2026-08-03,658
Yenny,ATS,Estándar,Shop Town,Deepgrove,1 641 km,1 821 km,122 km/h,Real,93 618 $,19 300 $,5,3908,2026-08-03,1821
Old_picotto,ATS,Wotr,Coastline Mining,Rock Port,3 827 km,3 854 km,117 km/h,Real,161 589 $,0 $,0,8229,2026-08-03,3854
DON ISMA,ATS,Estándar,Fish Tail Food,Syntetico,4 690 km,4 901 km,130 km/h,Real,16 821 $,0 $,0,7634,2026-08-03,4901
LuisYanez9,ATS,Estándar,AI Automotive,Coastline Mining,2 062 km,2 276 km,130 km/h,Real,157 900 $,0 $,3,4163,2026-08-03,2276
Old_picotto,ATS,Wotr,Rock Port,X-Tech Machinery,1 699 km,1 703 km,109 km/h,Real,51 331 $,0 $,0,4018,2026-08-03,1703
CRISTHIAN 926,ATS,Estándar,Deepgrove,Vortex,4 032 km,4 200 km,130 km/h,Real,65 683 $,0 $,0,6954,2026-08-03,4200
MALA INFLUENCIA,ATS,Estándar,Kenworth,Vortex,4 071 km,4 706 km,130 km/h,Real,240 708 $,0 $,0,7245,2026-08-03,4706
El puma (CT),ATS,Estándar,Wallbert,Vortex,4 339 km,5 136 km,129 km/h,Real,120 892 $,0 $,2,7829,2026-08-03,5136
andres guerra,ATS,Estándar,American Lines,Bitumen,1 471 km,1 585 km,120 km/h,Real,0 $,17 700 $,25,5142,2026-08-03,1585
Ing.Juancho,ATS,Estándar,Equos Power Transport,Creole Bay Port,338 km,339 km,129 km/h,Real,10 280 $,0 $,0,761,2026-08-03,339
Ing.Juancho,ATS,Estándar,Creole Bay Port,Vortex,179 km,179 km,128 km/h,Real,9 442 $,0 $,0,718,2026-08-03,179
CT/Cristian,ATS,Estándar,Sea Horizon,Lonestar Forwarding,2 267 km,2 264 km,130 km/h,Real,138 575 $,0 $,0,3628,2026-08-03,2264
